news_title	label
‘Yan Bangar Siyasa Sun Kai Wa Wasu Kusoshin Jam’iyyar APC Hari a Yola	Politics
INEC Ta Dauki Alhakin Dage Zabe, Ta Musanta Cewa An Yi Mata Shisshigi	Politics
Sashin Majalisar Dinkin Duniya Yayi Ikirarin Cewa Kazantarciyar Iska Na Kawo Cutar Kansa	World
Za A Kashe Naira Miliyan 4 Kan Ciwon Tarin Fuka A Jihar Kebbi	Health
Cibiyar raya kasashe ta Amurka zata samar da sinadarin gina jiki ga kananan yara	Health
Kasashen G7 Na Taron Koli a Faransa	World
Kungiyar Ohanaeze Ndigbo Ta Mayar Wa IPOB Martani	Politics
An samu ci gaba a yaki da tarin fuka	Health
Ana Ci Gaba da Zaman Dar-dar Tsakanin Amurka da Turkiya	World
Ana fama da masifar cutar kwalara a Afrika ta Yamma	Health
Majalisar Dinkin Duniya Tace An Sami Ci gaba A Yaki Kan Kanjamau	Health
An Shawarci Trump a Kan Abubuwan da Zai yi a Ziyararsa a Korea ta Kudu	World
Sudan Ta Kudu: Kiir Da Machar Sun Gana A Shirin Kafa Gwamnati	Africa
APC: Hukumar Zaben Najeriya Ta Ki Karbar Sunayen ‘Yan Takarar Zamfara	Politics
Najeriya : Wasu Manoman Shinkafa Sun Koka Kan Tallafin Da Gwamnati Ta Basu	Nigeria
INEC Ta Amince A Ci Gaba Da Yakin Neman Zabe	Politics
‘Yan Daba Sun Ci Karensu Babu Babbaka a Zaben Jihar Kano	Politics
Rufe Kan Iyakar Najeriya Da Benin Ya Shafi Harkokin Kasuwanci	Africa
Kwamitin Sulhu Akan Rikicin Yemen Ya Fara Zama	World
An Sami Karancin Fitowar Masu Zabe A Jihar Legas	Politics
Sace Mutane Ya Zama Yayi	Nigeria
Akwai Fargabar Babbar Rigima Na Tafe Saboda Sabon Matsayin Amurka Kan Birnin Kudus	World
Jihar Osun Na Shirin Amfani Da Fasahar Zamani Wajen Dakile Rikici	Nigeria
Rufe Iyakokin Najeriya Ya Shafi Kasuwancin 'Yan Kasar Mazauna Nijar	Africa
Shugaba Macron Ya Rika Auna Kalamansa Kafin Ya Furta Su-Bolsonaro	World
PDP Ta Koka Da Kama Wasu Jigajiganta a Kaduna	Politics
Amurka Ta Sakawa Venezuela Takunkumin Karya Tattalin Arziki	World
Jirgin Saman Ethiopia Da Yayi Hatsari Yabi Duk Ka'idojin Da Ya Kamata Ya Bi	Africa
An Yi Garkuwa Da Attajirin Matashi a Tanzania	World
Akalla Mutane Takwas Motar da Ta Kutsa cikin Jama'a a Birnin New York Ta Kashe	World
BOKO HARAM: Kamaru Zata Girke Dakaru Kan Iyakar Kasar Da Najeriya	Africa
Shugaba Buhari Ya Je Ta'aziyya Ma Iyalan Marigayi Shugaba Shagari	Nigeria
NIJAR: 'Yan Adawa Na Zargin Jam'iya Mai Mulki Da Fara Yakin Neman Zabe	Africa
An Sake Arangama Tsakanin Masu Zanga Zanga Da 'Yan Sanda A Hong Kong	World
Baban sakataren Majalisar Dinkin Duniya, ya kai ziyara kasashen Afrika wadanda suke fama da anobar Ebola,	Health
Kungiyar AU Ta Dakatar Da Hulda Da Sudan	Africa
Batun Zaman Lafiya Da Tsaron Kasa Na Sa a Gaba - Seiyefa	Nigeria
Ana Neman Wani Gungun Birrai Ruwa a Jallo	World
Najeriya Ta Kori Indiyawa 36	World
An Kafa Kungiyar Hana Shan Miyagun Kwayoyi A Najeriya	Nigeria
Mutanen Sudan Sun Kara Kaimi Wurin Matsawa Sojojin Kasar Lamba	Africa
Ma'aikatan Gwamnatin Jihar Neja Sun Ki Komawa Bakin Aiki	Nigeria
Hana Shiga Da Abinci Da Magunguna Kisan Kiyashi Ne - Guaido	World
Yan Sandan Kasar Myanmar Sun Raunata 'Yan Rohinja Mutum 4	World
Kungiyar Kwadago Ta Najeriya Ta Yi Tir Da Hallaka ‘Yan Najeriya A Afurka Ta Kudu	Africa
Wani Malamin Firamare Ya Yiwa Dalibarsa Ciki	Nigeria
Hukumomin Najeriya da Nijer na Kara Azamar Hana Ebola Shiga Kasashen	Health
Dalilin Kaddamar Da Doka Kan Yin Wa'azi a Kaduna - Shagali	Nigeria
Sultan Sa’ad Abubakar Na Uku Ya Kafa Kwamitin Yaki Da Polio	Africa
Matsalar Satar Jama'a a Wasu Sassan Arewacin Najeriya Na Kara Ta'azzara	Nigeria
Me Ake Ciki Game Da Cutar Zika Yanzu A Duniya?	Health
Trump Na Shirin Ganawa Da Jami'an Gwamnatinsa Kan Guguwar Irma	World
Babu Kasar Duniya Da Aka Ci Amanarta Kamar Najeriya-Muhammadu Buhari	Nigeria
Firayin Minista May Na Kokarin Shawo Kan 'Yan Majalissar Ta Akan Fita Daga EU	World
Yan Sa Kai Sun Dakile Harin Boko Haram A Madagali A Adamawa	Nigeria
An Roki Al'ummar Kano Da Su Rungumi Yaki Da Polio	Health
Mun Amince Da Hukuncin Kotun Koli – Inji Gwamnatin Abdul’aziz Yari	Politics
Wata ba-Yazidiya Da Wani Baki Sun Ci Lambar Yabo ta Nobel	World
Masanan Kimiyya Sun Baiyyana Maganin Kanjamau Mai Inganci	Health
Wasu 'Yan Jam'iyyar APC A Adamawa Da Taraba Suna Matsa Lamba Abi Tsarin Kato Bayan Kato.	Politics
Zan Ta Da Batun Rikicin Gabashin Ukraine Idan Na Hadu da Zelenskiy - Putin	World
Muzaharar Mabiya Darikar Shi'a Albarkacin Ranar Ashura a Nijar	Africa
Dukkan Yaran Dake Jihar Edo Zasu Yi Rigakafin Cutar Polio Nan Da Karshen Shekarar Nan	Health
Kungiyar Kwadago Na Shirin Tafiya Yajin Aiki Kan Albashi a Najeriya	Nigeria
Janhuriyar Nijar: 'Yan Bindiga Sun Kai Hari A Yankin Tilaberi	Africa
Yan Majalisa Sun Kara Biliyan N23.7 A Kasafin Kudi Don Aljihunsu	Politics
Jerin Sunayen Sabbin Ministoci A Najeriya Da Shugaba Buhari Ya Zaba	Politics
An Yi Barazanar Fallasa Barayin Biro a Sudan Ta Kudu	Africa
Taron Zaman Lafiya Tsakanin Falastinawa Da Isra'ilawa	World
Fiye Da Mutane Miliyan 7 Ke Shan Maganin Cutar HIV A Africa	Health
Zanga-Zanga Na Ci Gaba Da Karuwa a Hong Kong	World
Ma'aikatan Kamfanin Sadarwa Na Orange Nijar Sun Shiga Yajin Aiki	Africa
Har Yanzu Kananan Yara Da Dama Suna Mutuwa A Najeriya	Health
Jihar Abiya Ita Ce Takwas a Cikin Jihohin Masu Yawan Kanjamau a Nigeriya	Health
An Kama Wani Dan Najeriya Da Makamai A Jamhuriyar Nijar	Africa
Kim: Muna Tauna Tsakuwa Ne Don Shaidawa Aya Karfin Mu	World
Jamus Zata Hada Hannu Da Najeriya A Fannin Kiwon Lafiya	Health
JUMMAI ALI: Health Magazine, Fabrairu 06, 2015	Health
Matsalar Fara Ta Addabi Manona A Nijar	Africa
Amurka Ta Ce Zata Ci Gaba da Kare Korea Ta Kudu Daga Barazanar Korea Ta Arewa	World
Mamar Taraba Ta Musanta Janyewa Daga Takarar Gwamnan Taraba	Politics
Kasar Jamus Na Taimakawa Wajen Samar Da Zaman Lafiya a Jihar Filato	World
Nau'o'in Cutar Ebola	Health
Shugaba Xi Jinping Ya Yi Na’am Da Kulla Yarjejeniya	World
Sama Da Mutane Miliyan Daya Ke Ba Haya A Fili A Najeriya:UNICEF	Health
Sashin Arewa - Maso Gabas Ke Da Kashi 65.2% Na Ciwon Inna	Health
Ranar Bikin Matasa Ta Duniya	World
Tankar Mai Ta Kashe Mutum 57 a Tanzania	Africa
Dangantaka Ta Yi Tsami Tsakanin Najeriya Da Afirka Ta Kudu	Africa
Jakadan Amurka Na Nijar Ya Shirya Liyafar Bude Baki Ma Musulmin Kasar	World
Majalisa Ta Yi Watsi Da Irin Yarjajjeniyar Da May Ta Cimma Ta Barin EU	World
An Tuhumi Mutumin Da Ya Kashe Musulmi 51 a New Zealand	World
Shugaban Kasar Jamhuriyar Benin Ya Ziyarci Shugaban Nijer	Africa
Gwamnatin Najeriya ta Bada Kyautar Maganin Cutar Kwalara ga Jihar Nasarawa	Health
Za A Baiwa Matashiyar Nan Rahaf Mafaka A Australia	World
Hukumar Zaben INEC Ta Ce Ta Yi Tanadi Domin Nakasassu	Politics
Ina da ciki menene ya kamata in yi- ko kuma kada in yi- domin kula da kaina da jaririn dake ciki na? (chigabawa)	Health
Shugabannin Amurka da Rasha zasu mara wa Majalisar Dinkin Duniya baya domin warware rikicin Syria	World
Ana Korar Sama Da Mutane Dubu 12 Daga Inda Suke Zaune A Kenya	Africa
Wadanne Kalubale Ke Gaban Sabon Shugaban Kungiyar ECOWAS?	Africa
Jami'an Tsaron Saudiyya Sun Kashe Wasu Mayaka 8	World
Matakin Kama Ali Tera Ya Janyo Muhawara a Nijer	Africa
Ma'aikacin Gidan Gwamnatin Jihar Borno Ya Hallaka Kansa.	Nigeria
An Bukaci Kotu Ta Dakatar Da Rantsar Da Shugaba Buhari	Politics
Ana Samin Ci Gaba a Fannin Kiwon Lafiya a Duniya	World
Korea Ta Arewa Ta Sake Harba Makamai Masu Linzami	World
Kamfanin Microsoft Ya Dauki Aniyar Yalwata Kasashen Afrika	World
Kemi Adeosun Ta Fice Daga Najeriya - Rahotanni	Nigeria
Kwararru Sun Gargadi Najeriya Kan Fadawa Kangin Bashi	Nigeria
Masarautar Anka Ta Fito Da Wani Sabon Tsari Na Tattaro Hancin Rugagen Fulani	Nigeria
Hare Haren Jiragen Sama Da Aka Kai A Saudiyya Sun Shafi Ayyukan Hakar Man Kasar	World
Mahajjata: Saudiyya Ta Wajabta Nuna Shaidar Rigakafi	Nigeria
Hukumar Taimaka wa Kasashe na Amurka USAID.	Health
Yan Adawa Na Yunkurin Tsige Firai Ministan Jamhuriyyar Nijar	Africa
Al'ummar IGDLAN Sun Bukaci Hukumomin Nijar Su Saka Harshensu Cikin Na Kasa	Africa
An Gano Gawarwaki 14 Na 'Yan Afrika Masu Zuwa Turai A Tekun Tunisia	Africa
Fiye da kananan yara dubu 100 suke mutuwa da cutar sikila	Health
Wani Maganin Ebola Da Aka Yi Gwaji Kan Dabbobi Ya Nuna Babbar Alamar Yin Aiki	Health
Shugaban Likitocin Zimbabwe Ya Bayyana Bayan Da Ya Yi Batan-Dabo	Africa
Da Alama Shugaban Amurka Donald Trump Zai Cire Kasar daga Yarjejeniyar Nukiliyar Iran	World
Ina bukatar kulawa bayan haihuwa? Kashi Na Daya (chigabawa)	Health
Rundunar Tsaro Ta Kaddamar Da Yaki Da Miyagun Ayyuka A Plato	Nigeria
An Sami Maganin Hana Mata Zuban Jini Bayan Haihuwa	Health
Taron Koli Kan Dakile Yahudar Cutar HIV A Afrika	Health
Kowane Dan Najeriya Nada Hurumin Zama Inda Ya Keso	Nigeria
Kisan Jamal Khashoggi Shiryayyen Abu Ne - Saudiyya	World
Kasashen G20 Sun Amince a Sauya Tsarin Karbar Kudaden Haraji	World
Hukumar Kiwon Lafiya Ta Duniya Ta Ce Shayar Da Nonon Uwa Shi Zai Ceci Rayukan Jarirai	Health
Yadda Bishiya Ta Halaka Wata Mata a Mozambique	Africa
Bakin Haure Sun Ce Su Na Fuskantar Ukuba A Libiya	Africa
Likitoci a Nijar Sun Yi Gargadi Kan Zazzabin Cizon Sauro	Health
Kotu Ta Hana INEC Kammala Tattara Sakamakon Zaben Jihar Bauchi	Politics
Somaliya Za Ta Gayyaci Kamfanonin Hako Mai	Africa
Guguwar Kenneth Ta Lalata Gidaje Sama Da Dubu Uku a Mozambique	Africa
Jiragen Yakin Syria Sun Auna Jerin Gwanon Motocin Sojojin Turkiya A Syria	World
Amurka Tace Babu Wani Farin Hula Da Aka Kashe A Harin	World
Hukumar Zabe Ta INEC Tana Ci Gaba Da Tattara Sakamakon Zabe	Politics
Yadda Masu Zabe A Karon Farko Suke Ji	Politics
Saudi Arabia Ta Tabbatar Da Mutuwar Kashoogi	World
Sudan Ta Kudu Ta Fara Sasanta Kasar Sudan	Africa
A karon Farko ‘Yan Awaren Kamaru Sunyi Amfani Da Bam	Africa
Matakan Maganin Ciwon Sankarau	Health
Aminu Tambuwal Ya Sauya Sheka Zuwa PDP	Politics
Yawan Mutanen Da Suka Mutu a Harin Boko Haram Ya Kai 65	Nigeria
An Samu Rudani Kan Ficewar Shekarau Daga PDP	Politics
Ramadan: Kiristocin Nijar Sun Yi Wa Musulmi Fatan Alheri	Africa
Canada Zata Taimaka Da dala Miliyan 18 Don Yakar Polio A Najeriya	Health
Red Cross Ta Tura Masu Ceto Da Kayan Agaji Zuwa Mozambique	Africa
Iran Ta Musanta Harbo Jirginta Mara Matuki Da Amurka Ta Yi	World
Majalisar Zartaswar Najeriya ta Karbi Rahoton Kwamitin Yakar Cutar Shan Inna	Health
Trump na Shirin Sanar da Sabon Mataki a Kan Yarjejeniya Nukiliyar Iran	World
Ruwan Sama Ya Rusa Gidaje Kimanin 118 A Jihar Borno	Nigeria
Manoman Auduga Sun Samu Tallafi a Jihar Pilato	Nigeria
Gwamnatin Jamhuriyar Nijar Ta Kulla Yarjejeniya Da Bankin Musulunci	Africa
CAN Ta Tabbatar Da Kama Mabiyanta	Nigeria
Yau Litinin ne ake sa ran mahaukaciyar guguwar na ta Irma zata rage karfi	World
Dubban 'Yan Rasha Sun Gudanar Da Zanga-Zanga A Birnin Moscow	World
Rasha Tace Ba A Kai Ga Musayar Ba-Amurken Nan Whelan Da Maria Ba	World
Buhari Ya Bukaci Sabbin Ministoci Su Maida Hankali Kan Manufofi 4	Politics
Masu dauke da kwayar cutar HIV sun nemi a daina nuna masu wariya	Health
Shugaban Najeriya Goodluck Jonathan zai jagoranci kwamitin kula da rmata da kananan yara na Majalisar Dinkin Duniya	Health
NASARAWA: Mutane Uku Sun Rasa Rayukansu A Ambaliyar Ruwa	Nigeria
Hukumar INEC a Jihar Nasarawa Ta Gargadi 'Yan Siyasa Gabanin Zabe	Politics
Yan Ta'adda Sun Bad Da Kamanni Sun Kashe Sojojin Amurka	World
Birtaniya: Majalisar Dokoki Ta Yi Watsi Da Kiran Sabon Zabe	World
An Kama Mataimakin Gwamnan Kano, Kwamishina	Politics
Majalisar Dokokin Najeriya Ta Hana Kayyade Shekaru A Daukar Aiki	Politics
Shugaba Buhari Ya Bukaci Hadin Kan ‘Yan Nigeria	Politics
Jirgin Farko: Yan Najeriya 182 Sun Dawo Gida Daga Afrika Ta Kudu	Africa
Ana Nuna Yatsa Tsakanin Alkalai Da Gwamnatin Nijar	Africa
Amurka Ta Tabbatar Da Mutuwar Sojanta Na Hudu A Nijar Sakamkon Harin Kwanton Bauna.	World
Gwamnatin Najeriya Na Daukar Matakan Dakile Karuwan Al'umma	Nigeria
An Kama Wani Mutum Da Harsasai 900 A Kan Iyakar Najeriya	Nigeria
Mutanen Sudan Na Murnar Hambarar Da Gwamnatin Shugaba Omar Al-Bashir	Africa
Mutuwar Khashoggi: Wani Hoton Bidiyo Ya Bayyana	World
An Yi Garkuwa Da Mutane 15 A Jihar Taraba	Nigeria
Muhawara Kan Makomar Shugabannin Majalisun Tarayyar Nigeria	Politics
Bello Matawalle Na PDP Ya Zama Gwamman Jihar Zamfara	Politics
Najeriya Ce Kasa Ta 3 Da Ta Fi Fuskantar Ayyukan Ta'addanci a Duniya	World
A Najeriya Za'a Jarraba Maganin Gargajiya A Kan Ebola	Health
Jami'an Tsaron Sudan Sun Kaiwa Masu Zanga-Zanga Hari	World
Yawan Wadanda Cutar Kwalara Ta Kashe A Najeriya Ya Karu	Health
Kwararru A Harkokin Shari'a Na Ci Gaba Da Tsokaci Akan Kalaman Shugaba Buhari	Nigeria
Wayar Da Kan Al'umma Kan Tazarar Haihuwa	Nigeria
Mutanen Da Suka Mutu a Guguwar Idai Sun Haura 300	Africa
Sudan Na Bikin Samar Da Yarjejeniyar Siyasa a Kasar	Africa
Ya Kamata Hausawa Da Fulani Su Yi Ma Kawunansu Fada Game Da Polio In Ji Shaihin Malami	Health
Nigeriya Tana Kan Hanyar Shawo Kan Cutar Ciwon Shan Inna	Health
Amurka Zata Halarci Taron Kasuwani A Saudiya-Inji Sakatren Bitalmlin Amurka	World
Daga Karshe An Ceto Bakin Hauren Nan Da Suka Makale A Teku	World
Mahara Sun Kai Farmaki A Madagali	Nigeria
Macedonia Ta Sanya Hannu Kan Neman Shiga NATO	World
An Rufe Sashen 'Yan Sanda Dake Kula Da Zirga-Zirgar Ababen Hawa a Jihar Borno	Nigeria
Malaman Addinai A Najeriya Sun Gudanar Da Addu'o'i Na Musamman	Nigeria
Yaran Nigeriya Miliyan Sha Daya Suna Fama Da Rashin Abinci Mai Inganci	Health
Sojojin Najeriya da Chadi Sun Hallaka ‘Yan Boko Haram 124	Africa
Taron MDD: Shugaban Ghana Ya Yi Tir Da Rashin Adalci A Duniya	World
Jam'iyyar APC A Jihar Nasarawa Na Kokarin Hada Kan 'Yan Jam'iyyar Biyo Bayan Zaben Fidda Gwani	Politics
Zanga Zanga: An Sake Curewa a Hong Kong	World
Likitoci Sun Fara Yajin Aiki a Nijar	Health
Kungiyar Myetti Allah Ta Tabbatar Da Aukuwar Harin Kajuru	Nigeria
Polio Zata Zamo Tarihi A Jihar Sokoto - Wamako	Health
Zaben Adamawa: Kotu Ta Dage Karar MRDD Zuwa Mako Mai Zuwa	Politics
An Bude Taron Kungiyar Kasashen Nahiyar Afrika A Nijar	Africa
Ana Zanga Zangar Wanke Dan Sanda Farar Fata Da Kotun Amurka Ta Yi	World
Rigakafin Polio Bai Bambanta Da Na Sauran Cututtuka Ba	Health
Hira Da Dr. Sambo Sadiku Kan Raguwar Mutuwar Kananan Yara A Nijar Kashi Na Uku	Health
Sojojin Saman Najeriya Sun Kashe 'Yan Boko Haram A Jihar Borno	Nigeria
Wasu Mahara Sun Kashe Mutane a Kasuwar Dabbobi a Jahar Taraba	Nigeria
Wata Shu'umar Wutar Daji Na Cigaba Da Barna A California,	World
Yan Sanda A Najeriya Sun Kama Wani Jigo A Kungiyar Boko Haram	Nigeria
Shugaban Kasar Sudan Omar Al-Bashir Zai Ziyarci Kasar Qatar	Africa
Gwamnatin Najeriya Na Kokarin Magance Matsalar Fataucin Yara	Nigeria
Kula Da Lafiyar Samari Da 'Yan Mata Zai Kawar Da Talauci In Ji UNICEF	Health
Yan Bindiga Sun Kai Hari a Birnin Tripoli	Africa
Fashewa Ta Halaka Mutum 10 a China	World
Hukumar NDLEA Ta Cafke Wasu Dillalan Miyagun Kwayoyi A Adamawa	Nigeria
Kamfanin Facebook Zai Fito Da Wasu Matakan Kare Kutse Musamman a Lokacin Zabe	World
An Kama Wasu Manyan 'Yan Bindiga Hudu a Zamfara	Nigeria
An Samu Wadanda Suka Kamu Da Polio 9 A Najeriya Cikin Mako Guda	Health
Yan Bindiga Sun Kashe Mutane 26 A Sokoto	Nigeria
‘Yan Jarida Suna da Muhimmaci A Yaki Da Cutar Polio: Amanda Bennett	Health
Yadda Aka Yi Jana'izar Mugabe a Kauyensu	Africa
"Siriya Ta Ce Sanarwar Shugaba Trump Akan Yankin Golan ""Ba Ta Dace Ba"""	World
Akwai Bukatar Dage Dokar Hawa Babur A Wasu Yankuna	Nigeria
